GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minicp:minicp,tinycsp,Constraint,3,0,0,0,1,0,1,0,1,0
minicp:minicp,tinycsp,NotEqual,54,0,4,0,12,0,5,0,3,0
minicp:minicp,tinycsp,TinyCSP,230,0,22,0,55,0,23,0,12,0
minicp:minicp,minicp.search,TreeVisualizer.new DFSListener() {...},78,0,0,0,7,0,4,0,4,0
minicp:minicp,minicp.search,LimitedDiscrepancyBranching,5,16,1,1,0,6,1,2,0,2
minicp:minicp,minicp.search,DFSearch,85,227,0,6,20,55,9,19,9,16
minicp:minicp,minicp.search,Sequencer,0,29,0,4,0,8,0,4,0,2
minicp:minicp,minicp.search,DFSListener,2,1,0,0,2,1,2,1,2,1
minicp:minicp,minicp.search,TreeVisualizer,30,0,0,0,11,0,2,0,2,0
minicp:minicp,minicp.search,SearchStatistics,30,49,0,0,2,16,2,8,2,8
minicp:minicp,minicp.search,DFSearch.new DFSListener() {...},13,0,0,0,3,0,2,0,2,0
minicp:minicp,minicp.search,StopSearchException,0,3,0,0,0,1,0,1,0,1
minicp:minicp,minicp.search,DFSearch.new DFSListener() {...},0,13,0,0,0,3,0,2,0,2
minicp:minicp,minicp.cp,BranchingScheme,91,119,9,11,19,19,11,17,6,12
minicp:minicp,minicp.cp,Factory,132,393,4,22,24,64,15,42,12,32
minicp:minicp,minicp.cp,Factory.new AbstractConstraint() {...},0,16,0,0,0,3,0,2,0,2
minicp:minicp,minicp.cp,Factory.new AbstractConstraint() {...},0,16,0,0,0,3,0,2,0,2
minicp:minicp,minicp.cp,Factory.new AbstractConstraint() {...},0,16,0,0,0,3,0,2,0,2
minicp:minicp,minicp.cp,Factory.new AbstractConstraint() {...},16,0,0,0,3,0,2,0,2,0
minicp:minicp,minicp.engine.constraints,AllDifferentDC.new GraphUtil.Graph() {...},16,6,0,0,3,1,3,1,3,1
minicp:minicp,minicp.engine.constraints,Element1D,5,70,0,2,1,13,1,4,1,3
minicp:minicp,minicp.engine.constraints,Circuit,5,71,0,2,1,12,1,3,1,2
minicp:minicp,minicp.engine.constraints,Absolute,5,16,0,0,1,5,1,2,1,2
minicp:minicp,minicp.engine.constraints,Profile.Entry,0,25,0,4,0,5,0,4,0,2
minicp:minicp,minicp.engine.constraints,Disjunctive,38,230,7,9,8,36,5,14,1,10
minicp:minicp,minicp.engine.constraints,DisjunctiveBinary,84,36,0,0,11,9,7,2,7,2
minicp:minicp,minicp.engine.constraints,Element2D,8,332,2,22,0,45,2,18,0,8
